Test MAE,Val MAE,Epoch,Model,Rewire,P,K,seed
0.04007344818115234,0.022496395111083985,10,gvp,k0hop,0.85,2,1
0.044974971771240234,0.02048268699645996,20,gvp,k0hop,0.85,2,1
0.060606391906738284,0.01493653392791748,30,gvp,k0hop,0.85,2,1
0.060606391906738284,0.016696949005126954,40,gvp,k0hop,0.85,2,1
0.06692282867431641,0.019159162521362304,50,gvp,k0hop,0.85,2,1
0.0717590103149414,0.01955776596069336,60,gvp,k0hop,0.85,2,1
0.07631311798095704,0.014109228134155273,70,gvp,k0hop,0.85,2,1
0.07631311798095704,0.015185469627380372,80,gvp,k0hop,0.85,2,1
0.056837764739990235,0.015355688095092773,90,gvp,k0hop,0.85,2,1
0.054640357971191406,0.008956143379211426,100,gvp,k0hop,0.85,2,1
0.04409823989868164,0.024767650604248046,10,gvp,k0hop,0.85,3,1
0.05503720855712891,0.017154766082763673,20,gvp,k0hop,0.85,3,1
0.05571575927734375,0.013845085144042969,30,gvp,k0hop,0.85,3,1
0.06363896942138672,0.016829294204711916,40,gvp,k0hop,0.85,3,1
0.04570370864868164,0.013089881896972657,50,gvp,k0hop,0.85,3,1
0.04570370864868164,0.012588727951049804,60,gvp,k0hop,0.85,3,1
0.04570370864868164,0.012626609802246093,70,gvp,k0hop,0.85,3,1
0.04570370864868164,0.012851652145385742,80,gvp,k0hop,0.85,3,1
0.04570370864868164,0.013984569549560547,90,gvp,k0hop,0.85,3,1
0.04570370864868164,0.015179470062255859,100,gvp,k0hop,0.85,3,1
0.050562206268310546,0.01790844535827637,10,gvp,k0hop,0.85,4,1
0.06584596252441406,0.01646271514892578,20,gvp,k0hop,0.85,4,1
0.0667677230834961,0.01811495590209961,30,gvp,k0hop,0.85,4,1
0.0667677230834961,0.018032459259033202,40,gvp,k0hop,0.85,4,1
0.0667677230834961,0.015205686569213867,50,gvp,k0hop,0.85,4,1
0.0667677230834961,0.014012975692749024,60,gvp,k0hop,0.85,4,1
0.0667677230834961,0.012403568267822266,70,gvp,k0hop,0.85,4,1
0.0667677230834961,0.01286493968963623,80,gvp,k0hop,0.85,4,1
0.0667677230834961,0.012514565467834473,90,gvp,k0hop,0.85,4,1
0.0667677230834961,0.01399714756011963,100,gvp,k0hop,0.85,4,1
0.06083633422851562,0.021791051864624024,10,gvp,k0hop,0.85,5,1
0.05734343338012695,0.014954537391662597,20,gvp,k0hop,0.85,5,1
0.05734343338012695,0.01682746124267578,30,gvp,k0hop,0.85,5,1
0.061984466552734374,0.011703254699707032,40,gvp,k0hop,0.85,5,1
0.061984466552734374,0.01426463508605957,50,gvp,k0hop,0.85,5,1
0.07094721984863281,0.013292284965515136,60,gvp,k0hop,0.85,5,1
0.04406876754760742,0.010175901412963867,70,gvp,k0hop,0.85,5,1
0.04406876754760742,0.011156036376953124,80,gvp,k0hop,0.85,5,1
0.06801593017578125,0.009613367080688476,90,gvp,k0hop,0.85,5,1
0.06801593017578125,0.011404070854187012,100,gvp,k0hop,0.85,5,1
0.06215364456176758,0.02410822296142578,10,gvp,k0hop,0.85,6,1
0.057682353973388674,0.014810669898986816,20,gvp,k0hop,0.85,6,1
0.08232796478271484,0.013476985931396485,30,gvp,k0hop,0.85,6,1
0.08232796478271484,0.01306816291809082,40,gvp,k0hop,0.85,6,1
0.08232796478271484,0.015410344123840332,50,gvp,k0hop,0.85,6,1
0.08232796478271484,0.018667213439941405,60,gvp,k0hop,0.85,6,1
0.08232796478271484,0.016541059494018556,70,gvp,k0hop,0.85,6,1
0.08232796478271484,0.019617820739746095,80,gvp,k0hop,0.85,6,1
0.08232796478271484,0.02231290817260742,90,gvp,k0hop,0.85,6,1
0.08232796478271484,0.023965686798095704,100,gvp,k0hop,0.85,6,1
0.04976004791259766,0.025075649261474608,10,gvp,k0hop,0.85,7,1
0.051042144775390624,0.01723237609863281,20,gvp,k0hop,0.85,7,1
0.07011280822753906,0.018603321075439452,30,gvp,k0hop,0.85,7,1
0.07224099731445313,0.015394613265991211,40,gvp,k0hop,0.85,7,1
0.06510720825195312,0.010452850341796875,50,gvp,k0hop,0.85,7,1
0.06510720825195312,0.015893186569213867,60,gvp,k0hop,0.85,7,1
0.06931755065917969,0.011849210739135743,70,gvp,k0hop,0.85,7,1
0.06931755065917969,0.0112067928314209,80,gvp,k0hop,0.85,7,1
0.07029782104492187,0.009485630989074708,90,gvp,k0hop,0.85,7,1
0.07029782104492187,0.010947490692138672,100,gvp,k0hop,0.85,7,1
0.046463523864746094,0.023290653228759766,10,gvp,k0hop,0.85,8,1
0.05727722930908203,0.024120853424072265,20,gvp,k0hop,0.85,8,1
0.06313018417358399,0.02479623031616211,30,gvp,k0hop,0.85,8,1
0.056488582611083984,0.02097100830078125,40,gvp,k0hop,0.85,8,1
0.03357904815673828,0.021303377151489257,50,gvp,k0hop,0.85,8,1
0.028647871017456056,0.017487117767333984,60,gvp,k0hop,0.85,8,1
0.027418460845947266,0.012529921531677247,70,gvp,k0hop,0.85,8,1
0.027418460845947266,0.017572044372558594,80,gvp,k0hop,0.85,8,1
0.027418460845947266,0.016714977264404296,90,gvp,k0hop,0.85,8,1
0.027418460845947266,0.015541275024414063,100,gvp,k0hop,0.85,8,1
0.03556964111328125,0.02220635986328125,10,gvp,k0hop,0.9,2,1
0.04873456573486328,0.024354484558105467,20,gvp,k0hop,0.9,2,1
0.046383323669433596,0.017124553680419922,30,gvp,k0hop,0.9,2,1
0.04154166412353515,0.012611780166625976,40,gvp,k0hop,0.9,2,1
